"_id","amount","splitMethod","participantEmail","participantValue","participantAmount","createdAt"
"66a7a31ff66ed486b983405e",3000,"equal","akshayanand",10,1000,"2024-07-29T14:11:43.959Z"
"66a7a31ff66ed486b983405e",3000,"equal","ram@123.com",50,1000,"2024-07-29T14:11:43.959Z"
"66a7a31ff66ed486b983405e",3000,"equal","shyam@123.com",2,1000,"2024-07-29T14:11:43.959Z"
"66a7a375f66ed486b9834066",4299,"exact","akshayanand",799,799,"2024-07-29T14:13:09.326Z"
"66a7a375f66ed486b9834066",4299,"exact","ram@123.com",2000,2000,"2024-07-29T14:13:09.326Z"
"66a7a375f66ed486b9834066",4299,"exact","shyam@123.com",1500,1500,"2024-07-29T14:13:09.326Z"
"66a7a3c0f66ed486b983406e",5000,"percentage","akshayanand",50,2500,"2024-07-29T14:14:24.108Z"
"66a7a3c0f66ed486b983406e",5000,"percentage","ram@123.com",25,1250,"2024-07-29T14:14:24.108Z"
"66a7a3c0f66ed486b983406e",5000,"percentage","shyam@123.com",25,1250,"2024-07-29T14:14:24.108Z"
"66a7ab1cb37a0a35e3b2f5c2",500,"exact","shyam@123.com",10,10,"2024-07-29T14:45:48.577Z"
